,feats_hillshade_Cp1,feats_hillshade_Cp2,feats_hillshade_Cp3,class,clusters,Cp_Product,reordered_cluster,geometry,x,y
45,3.0353851,-4.9151344,-2.3367577,0,3,51500856.0,4,POINT (15891941 -4757042),15891941.0,-4757042.0
46,3.2780962,-6.4891605,-4.6164265,0,1,9132311000.0,9,POINT (15891941 -4756442),15891941.0,-4756442.0
47,3.4938993,-7.0749598,-4.487482,0,1,16795206000.0,9,POINT (15891941 -4755842),15891941.0,-4755842.0
48,3.6471567,-5.206873,-3.1099358,0,3,718479040.0,4,POINT (15891941 -4755242),15891941.0,-4755242.0
49,2.5482183,-6.845977,-4.740733,0,1,3868902700.0,9,POINT (15891941 -4754642),15891941.0,-4754642.0
50,2.809411,-7.2892227,-4.3594666,1,1,5670863000.0,9,POINT (15891941 -4754042),15891941.0,-4754042.0
51,3.0142398,-6.097275,-2.7247515,1,3,314921600.0,4,POINT (15891941 -4753442),15891941.0,-4753442.0
52,3.4273853,-5.7118354,-4.358031,0,1,4520063000.0,9,POINT (15891941 -4752842),15891941.0,-4752842.0
53,2.3644304,-6.5281096,-4.459158,0,1,1544663900.0,9,POINT (15891941 -4752242),15891941.0,-4752242.0
54,2.8193645,-6.8973465,-4.86084,0,1,7546107000.0,9,POINT (15891941 -4751642),15891941.0,-4751642.0
55,3.5860386,-5.2371993,-3.1440997,0,3,717879900.0,4,POINT (15891941 -4751042),15891941.0,-4751042.0
56,3.0796576,-4.62932,-4.475794,0,2,1057909700.0,8,POINT (15891941 -4750442),15891941.0,-4750442.0
57,2.2966242,-5.98926,-2.952901,0,3,110550330.0,4,POINT (15891941 -4749842),15891941.0,-4749842.0
58,2.4792995,-6.508402,-2.8864813,0,3,219210110.0,4,POINT (15891941 -4749242),15891941.0,-4749242.0
59,2.839674,-4.482932,-2.7902985,0,3,56546612.0,4,POINT (15891941 -4748642),15891941.0,-4748642.0
60,2.0323596,-3.9607081,-4.229332,0,0,45732610.0,0,POINT (15891941 -4748042),15891941.0,-4748042.0
61,1.9058247,-5.475396,-2.4995623,0,3,12072920.0,4,POINT (15891941 -4747442),15891941.0,-4747442.0
62,1.5757446,-3.797194,-3.1311908,0,0,2308291.5,0,POINT (15891941 -4746842),15891941.0,-4746842.0
63,2.482368,-6.0397453,-3.7037992,0,1,528033100.0,9,POINT (15891941 -4746242),15891941.0,-4746242.0
64,2.854889,-5.2251434,-2.0978465,0,3,30012742.0,4,POINT (15891941 -4745642),15891941.0,-4745642.0
65,2.839775,-5.6975822,-3.1766014,0,3,358662750.0,4,POINT (15891941 -4745042),15891941.0,-4745042.0
66,3.2452774,-5.8054643,-3.7482948,0,4,1756356200.0,5,POINT (15891941 -4744442),15891941.0,-4744442.0
67,2.1594806,-4.4787045,-2.4266396,0,0,7120902.0,0,POINT (15891941 -4743842),15891941.0,-4743842.0
68,2.602798,-4.373315,-2.2008228,0,0,9866915.0,0,POINT (15892541 -4760642),15892541.0,-4760642.0
69,2.0647988,-3.9966788,-4.3174844,0,2,57416770.0,8,POINT (15892541 -4760042),15892541.0,-4760042.0
70,2.0826674,-4.446995,-2.3790474,0,0,5193356.5,0,POINT (15892541 -4759442),15892541.0,-4759442.0
71,1.8066654,-4.6443405,-2.1257973,0,0,1805585.8,0,POINT (15892541 -4758842),15892541.0,-4758842.0
72,3.567799,-5.22606,-2.9990606,0,3,546764350.0,4,POINT (15892541 -4758242),15892541.0,-4758242.0
73,1.9656401,-5.8605247,-3.1261973,0,4,60573732.0,5,POINT (15892541 -4757642),15892541.0,-4757642.0
74,3.4998498,-6.0413675,-4.592345,0,1,8631692000.0,9,POINT (15892541 -4757042),15892541.0,-4757042.0
75,3.0281367,-6.8279314,-5.186516,0,1,14180829000.0,9,POINT (15892541 -4756442),15892541.0,-4756442.0
76,3.2583475,-4.945938,-2.285625,0,3,67803980.0,4,POINT (15892541 -4755842),15892541.0,-4755842.0
77,2.8505788,-7.213475,-4.626849,0,1,7794973700.0,9,POINT (15892541 -4755242),15892541.0,-4755242.0
78,2.8619547,-7.3342476,-4.3275986,0,1,6184811000.0,9,POINT (15892541 -4754642),15892541.0,-4754642.0
79,3.0445743,-7.3443966,-4.25703,1,1,7815325700.0,9,POINT (15892541 -4754042),15892541.0,-4754042.0
80,3.2723083,-7.322439,-4.861331,1,1,21444997000.0,9,POINT (15892541 -4753442),15892541.0,-4753442.0
81,2.439705,-6.8260994,-5.0005827,0,1,4005459700.0,9,POINT (15892541 -4752842),15892541.0,-4752842.0
82,2.5996785,-5.6334457,-4.9569774,0,2,2016292100.0,8,POINT (15892541 -4752242),15892541.0,-4752242.0
83,3.238904,-7.332244,-4.712223,0,1,17551092000.0,9,POINT (15892541 -4751642),15892541.0,-4751642.0
84,2.6139898,-5.450609,-1.9763694,0,3,17704564.0,4,POINT (15892541 -4751042),15892541.0,-4751042.0
85,2.3611412,-5.0940523,-4.711979,0,2,584714000.0,8,POINT (15892541 -4750442),15892541.0,-4750442.0
86,2.6772852,-6.195224,-3.0335321,0,3,322478940.0,4,POINT (15892541 -4749842),15892541.0,-4749842.0
87,2.751171,-6.7635922,-4.7252445,0,1,5255287300.0,9,POINT (15892541 -4749242),15892541.0,-4749242.0
88,3.0923052,-4.8461514,-2.6709194,0,3,102730744.0,4,POINT (15892541 -4748642),15892541.0,-4748642.0
89,2.7277536,-6.8617306,-3.5143147,0,1,1231394000.0,9,POINT (15892541 -4748042),15892541.0,-4748042.0
90,1.5257759,-5.8019547,-4.152919,0,5,67157200.0,2,POINT (15892541 -4747442),15892541.0,-4747442.0
91,2.772049,-5.8175125,-3.104125,0,4,314330800.0,5,POINT (15892541 -4746842),15892541.0,-4746842.0
92,3.0312881,-6.513363,-3.2390108,0,3,1069607400.0,4,POINT (15892541 -4746242),15892541.0,-4746242.0
93,3.31388,-7.111703,-4.8103228,0,1,18725048000.0,9,POINT (15892541 -4745642),15892541.0,-4745642.0
94,2.6318645,-3.996481,-2.260066,0,0,7591228.0,0,POINT (15892541 -4745042),15892541.0,-4745042.0
95,1.8151264,-4.8600817,-3.0264215,0,0,13564363.0,0,POINT (15892541 -4744442),15892541.0,-4744442.0
96,3.2133713,-4.3979015,-3.570963,0,0,327309630.0,0,POINT (15892541 -4743842),15892541.0,-4743842.0
97,1.5900259,-6.447977,-3.1206083,0,5,33522374.0,2,POINT (15892541 -4743242),15892541.0,-4743242.0
98,2.2442436,-4.622999,-4.542764,0,2,232578740.0,8,POINT (15892541 -4742642),15892541.0,-4742642.0
99,2.8859854,-4.906356,-3.2203388,0,0,197139500.0,0,POINT (15892541 -4742042),15892541.0,-4742042.0
100,2.42762,-5.4314575,-3.6832066,0,2,270156670.0,8,POINT (15892541 -4741442),15892541.0,-4741442.0
